'년월'	'출발지(야간체류지) 시군코드'	'출발지역명'	'도착지 시군코드'	'도착지역명'	'10대남성 유입인구'	'20대남성 유입인구'	'30대남성 유입인구'	'40대남성 유입인구'	'50대남성 유입인구'	'60대남성 유입인구'	'70대남성 유입인구'	'10대여성 유입인구'	'20대여성 유입인구'	'30대여성 유입인구'	'40대여성 유입인구'	'50대여성 유입인구'	'60대여성 유입인구'	'70대여성 유입인구'
'202001 '	'11200'	'서울특별시 성동구'	'41270'	'경기도 안산시'	'13.16'	'59.66'	'46.07'	'75.95'	'65.82'	'32.29'	'10.71'	'23.79'	'45.31'	'35.38'	'31.46'	'37.97'	'16.83'	'13.12'
'202001 '	'11215'	'서울특별시 광진구'	'41270'	'경기도 안산시'	'32.52'	'76.93'	'83.03'	'89.35'	'80.4'	'30.47'	'11.84'	'23.92'	'82.63'	'47.86'	'42.14'	'39.14'	'18.39'	'10.61'
'202001 '	'11230'	'서울특별시 동대문구'	'41270'	'경기도 안산시'	'27.31'	'93.74'	'69.59'	'79.34'	'72.57'	'35.33'	'12.04'	'28.88'	'73.58'	'33.5'	'34.44'	'32.61'	'18.13'	'10.68'
'202001 '	'11380'	'서울특별시 은평구'	'41270'	'경기도 안산시'	'45.81'	'87.93'	'111.8'	'119.63'	'106.23'	'52.57'	'14.08'	'48'	'46.57'	'59.64'	'47.05'	'50.69'	'27.3'	'15.9'
'202001 '	'11410'	'서울특별시 서대문구'	'41270'	'경기도 안산시'	'23.73'	'67.08'	'71.48'	'71.13'	'91.47'	'31.47'	'10.46'	'28.47'	'88.16'	'38.94'	'36.66'	'31.65'	'17.9'	'6.34'
'202001 '	'11440'	'서울특별시 마포구'	'41270'	'경기도 안산시'	'49.57'	'82.75'	'117.78'	'120.28'	'99.28'	'51.63'	'10.45'	'28.92'	'92.33'	'61.52'	'53.79'	'43.29'	'22.76'	'17.11'
'202001 '	'11260'	'서울특별시 중랑구'	'41270'	'경기도 안산시'	'40.52'	'56.87'	'82.65'	'97.18'	'86.54'	'39.19'	'8.89'	'25.03'	'39.5'	'38.25'	'40.28'	'40.76'	'22.68'	'11.64'
'202001 '	'11290'	'서울특별시 성북구'	'41270'	'경기도 안산시'	'53.98'	'110.29'	'97.8'	'104.69'	'80.32'	'46.44'	'17.73'	'41.28'	'88.06'	'60.44'	'52.04'	'47.77'	'19.76'	'13.11'
'202001 '	'11305'	'서울특별시 강북구'	'41270'	'경기도 안산시'	'24.31'	'48.05'	'64.57'	'87.83'	'53.34'	'28.38'	'14.78'	'24.04'	'41.14'	'29.75'	'34.07'	'33.52'	'24.83'	'15.27'
'202001 '	'11320'	'서울특별시 도봉구'	'41270'	'경기도 안산시'	'27.22'	'45.47'	'69.08'	'78.48'	'70.19'	'27.07'	'11.16'	'20.6'	'36.87'	'33.9'	'32.96'	'32.05'	'15.68'	'11.33'
'202001 '	'11350'	'서울특별시 노원구'	'41270'	'경기도 안산시'	'49.68'	'78.04'	'94.62'	'113.53'	'105.99'	'39.43'	'12.11'	'42.28'	'61.19'	'44.4'	'54.9'	'51.5'	'22.42'	'16.26'
'202001 '	'11110'	'서울특별시 종로구'	'41270'	'경기도 안산시'	'9.92'	'35.09'	'28.74'	'36.81'	'36.33'	'11.99'	'7.68'	'16.93'	'38.46'	'24.02'	'14.61'	'24.58'	'10.21'	'9.33'
'202001 '	'11140'	'서울특별시 중구'	'41270'	'경기도 안산시'	'6.16'	'36.68'	'36.01'	'33.56'	'28.44'	'16.28'	'4.47'	'11.42'	'28.52'	'20.92'	'18.47'	'18.57'	'9.66'	'11.81'
'202001 '	'11170'	'서울특별시 용산구'	'41270'	'경기도 안산시'	'24.89'	'36.67'	'73.36'	'89.86'	'64.41'	'39.14'	'12.63'	'16.86'	'59.91'	'40.22'	'35.1'	'44.09'	'19.65'	'11.64'
'202001 '	'11530'	'서울특별시 구로구'	'41270'	'경기도 안산시'	'73.38'	'161.33'	'419.73'	'363.76'	'393.56'	'243.5'	'52.31'	'75.26'	'92.94'	'132.65'	'131.72'	'197.21'	'71.28'	'30.03'
'202001 '	'11545'	'서울특별시 금천구'	'41270'	'경기도 안산시'	'52.93'	'124.59'	'247.88'	'298.05'	'319.85'	'114.8'	'30.27'	'54.18'	'90.86'	'106.73'	'109.43'	'149.33'	'62.15'	'25.76'
'202001 '	'11560'	'서울특별시 영등포구'	'41270'	'경기도 안산시'	'40.3'	'131.37'	'201.32'	'220.61'	'264.3'	'135.05'	'32.37'	'48.73'	'92.43'	'99.31'	'92.53'	'111.13'	'50.41'	'25.58'
'202001 '	'11590'	'서울특별시 동작구'	'41270'	'경기도 안산시'	'72.04'	'144.13'	'217.95'	'196.52'	'204.94'	'95.52'	'30.7'	'44.75'	'117.62'	'115.06'	'75.96'	'89.78'	'46.36'	'21.7'
'202001 '	'28245'	'인천광역시 계양구'	'41270'	'경기도 안산시'	'67.99'	'106.93'	'189.59'	'282.72'	'254.47'	'78.57'	'15.17'	'45.34'	'69.59'	'69.57'	'96.81'	'88.23'	'20.58'	'13.2'
